name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	1500	1500	0	50	50	-1	420	420	-1	122	122	-1	59	59	-1	230	230	-1	270	270	-1	t < 800 ms	1500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	144	144	-1
get messages	1500	1500	0	50	50	-1	420	420	-1	122	122	-1	59	59	-1	230	230	-1	270	270	-1	t < 800 ms	1500	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	144	144	-1
